SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 28-Mar-2019, 37.05, 37.50, 38.80, 37.00, 38.70, 38.50, 38.07, 38303, 14.58, 398, 28771, 75.11
21STCENMGM, EQ, 28-Mar-2019, 18.55, 18.20, 18.90, 18.20, 18.90, 18.90, 18.73, 2476, 0.46, 15, 2175, 87.84
3IINFOTECH, EQ, 28-Mar-2019, 3.75, 3.80, 3.90, 3.70, 3.85, 3.80, 3.79, 2391169, 90.68, 692, 1372511, 57.40
3MINDIA, EQ, 28-Mar-2019, 23777.85, 23945.00, 24150.00, 23662.00, 23978.50, 24035.65, 23929.53, 579, 138.55, 352, 275, 47.50
5PAISA, EQ, 28-Mar-2019, 228.75, 228.80, 239.95, 228.00, 239.00, 237.30, 235.22, 4120, 9.69, 232, 2605, 63.23
63MOONS, EQ, 28-Mar-2019, 78.05, 78.45, 80.70, 78.15, 79.30, 79.55, 79.72, 182918, 145.82, 2469, 58823, 32.16
8KMILES, EQ, 28-Mar-2019, 89.40, 90.00, 93.85, 89.50, 93.85, 93.85, 92.43, 183722, 169.81, 2367, 121942, 66.37
A2ZINFRA, BE, 28-Mar-2019, 17.10, 17.10, 17.70, 17.10, 17.50, 17.45, 17.40, 150988, 26.27, 221, -, -
AARON, SM, 28-Mar-2019, 46.90, 43.00, 46.95, 43.00, 46.95, 46.95, 44.98, 9000, 4.05, 3, 6000, 66.67
AARTIDRUGS, EQ, 28-Mar-2019, 662.30, 650.00, 655.00, 646.55, 647.05, 648.15, 650.47, 19709, 128.20, 1382, 8957, 45.45
AARTIIND, EQ, 28-Mar-2019, 1590.50, 1585.10, 1585.10, 1537.55, 1558.00, 1555.25, 1553.66, 118734, 1844.72, 8123, 65811, 55.43
AARVEEDEN, EQ, 28-Mar-2019, 23.10, 23.05, 25.35, 22.25, 23.80, 23.85, 24.38, 40748, 9.93, 382, 17637, 43.28
AARVI, SM, 28-Mar-2019, 42.75, 41.00, 41.00, 40.65, 41.00, 41.00, 40.84, 8000, 3.27, 4, 6000, 75.00
AAVAS, EQ, 28-Mar-2019, 1143.40, 1144.00, 1159.85, 1075.40, 1101.00, 1096.80, 1138.76, 46575, 530.38, 1950, 36973, 79.38
ABAN, BE, 28-Mar-2019, 57.60, 58.90, 59.45, 57.25, 57.75, 58.00, 58.04, 71729, 41.63, 591, -, -
ABB, EQ, 28-Mar-2019, 1326.45, 1321.10, 1331.70, 1308.45, 1312.30, 1314.90, 1322.10, 154138, 2037.86, 4483, 126310, 81.95
ABBOTINDIA, EQ, 28-Mar-2019, 7227.35, 7259.95, 7331.00, 7242.10, 7265.00, 7274.90, 7265.97, 26845, 1950.55, 1161, 25863, 96.34
ABCAPITAL, EQ, 28-Mar-2019, 100.90, 101.50, 101.80, 97.60, 98.20, 98.55, 99.52, 5154877, 5130.30, 27576, 3389956, 65.76
ABFRL, EQ, 28-Mar-2019, 223.50, 223.50, 225.70, 220.30, 222.00, 221.65, 223.83, 1125372, 2518.91, 5780, 901518, 80.11
ABGSHIP, BZ, 28-Mar-2019, 1.75, 1.80, 1.80, 1.70, 1.75, 1.75, 1.75, 32354, 0.57, 75, -, -
ABSLNN50ET, EQ, 28-Mar-2019, 320.00, 331.70, 331.70, 315.70, 327.02, 327.02, 329.87, 129, 0.43, 6, 107, 82.95
ABSLRIF6RG, MF, 28-Mar-2019, 7.10, 7.72, 7.77, 7.55, 7.55, 7.76, 7.74, 2010, 0.16, 3, 1000, 49.75
ACC, EQ, 28-Mar-2019, 1602.55, 1604.00, 1629.40, 1587.00, 1629.00, 1617.80, 1607.48, 942173, 15145.23, 36378, 291976, 30.99
ACCELYA, EQ, 28-Mar-2019, 919.05, 919.00, 926.15, 915.15, 922.00, 919.80, 919.97, 3222, 29.64, 424, 2742, 85.10
ACCURACY, SM, 28-Mar-2019, 62.90, 61.50, 70.00, 61.50, 70.00, 70.00, 66.65, 94400, 62.92, 43, 94400, 100.00
ACE, EQ, 28-Mar-2019, 104.65, 104.95, 109.90, 104.00, 109.35, 109.20, 108.45, 619006, 671.31, 6840, 249266, 40.27
ADANIENT, EQ, 28-Mar-2019, 137.50, 138.45, 143.15, 136.30, 137.90, 137.80, 139.87, 3966292, 5547.73, 21095, 752155, 18.96
ADANIGAS, EQ, 28-Mar-2019, 115.50, 116.00, 117.50, 115.35, 117.40, 116.90, 116.37, 123587, 143.81, 1247, 67159, 54.34
ADANIGREEN, EQ, 28-Mar-2019, 35.55, 35.60, 36.40, 35.25, 35.95, 35.85, 35.78, 498011, 178.17, 3055, 218733, 43.92
ADANIPORTS, EQ, 28-Mar-2019, 366.30, 368.85, 382.65, 366.30, 381.00, 381.30, 377.63, 5909606, 22316.22, 99182, 2636856, 44.62
ADANIPOWER, EQ, 28-Mar-2019, 46.90, 46.95, 47.60, 46.60, 46.75, 46.90, 47.10, 8521212, 4013.36, 12643, 2921097, 34.28
ADANITRANS, EQ, 28-Mar-2019, 212.00, 208.30, 218.90, 208.30, 218.35, 217.75, 215.50, 157719, 339.88, 4369, 52709, 33.42
ADFFOODS, EQ, 28-Mar-2019, 239.40, 240.00, 242.50, 238.75, 240.60, 241.10, 240.99, 10131, 24.41, 356, 4677, 46.17
ADHUNIK, BE, 28-Mar-2019, 2.75, 2.85, 2.85, 2.65, 2.80, 2.80, 2.79, 124384, 3.47, 88, -, -
ADHUNIKIND, EQ, 28-Mar-2019, 55.50, 56.00, 56.00, 54.55, 55.10, 55.75, 55.51, 22241, 12.35, 79, 17874, 80.37
ADLABS, EQ, 28-Mar-2019, 8.80, 8.70, 8.70, 8.40, 8.40, 8.40, 8.40, 409819, 34.43, 400, 337889, 82.45
ADORWELD, EQ, 28-Mar-2019, 329.90, 327.00, 344.50, 327.00, 340.50, 340.65, 340.06, 15736, 53.51, 734, 8326, 52.91
ADROITINFO, BE, 28-Mar-2019, 18.00, 18.00, 18.45, 17.10, 18.45, 18.05, 18.19, 715, 0.13, 8, -, -
ADSL, EQ, 28-Mar-2019, 13.45, 13.80, 14.00, 13.35, 13.65, 13.60, 13.71, 7938, 1.09, 61, 6244, 78.66
ADVANIHOTR, EQ, 28-Mar-2019, 70.65, 70.75, 70.80, 68.45, 70.10, 69.65, 69.47, 11416, 7.93, 141, 7527, 65.93
ADVENZYMES, EQ, 28-Mar-2019, 170.20, 171.50, 172.45, 169.00, 169.80, 169.50, 170.43, 94901, 161.74, 1735, 48940, 51.57
AEGISCHEM, EQ, 28-Mar-2019, 203.55, 202.00, 204.55, 199.75, 201.00, 200.70, 202.52, 175564, 355.55, 6793, 128284, 73.07
AGARIND, EQ, 28-Mar-2019, 153.80, 154.05, 167.00, 154.05, 164.80, 163.65, 160.15, 4627, 7.41, 129, 2969, 64.17
AGCNET, EQ, 28-Mar-2019, 111.75, 111.70, 114.35, 111.00, 111.00, 111.10, 111.67, 1825, 2.04, 25, 1409, 77.21
AGLSL, EQ, 28-Mar-2019, 58.00, 58.50, 60.80, 58.50, 60.00, 59.55, 59.39, 1292, 0.77, 24, 1023, 79.18
AGRITECH, EQ, 28-Mar-2019, 49.70, 51.40, 51.45, 49.50, 51.00, 50.90, 50.92, 3190, 1.62, 67, 2026, 63.51
AGROPHOS, EQ, 28-Mar-2019, 74.00, 74.90, 74.95, 71.00, 72.45, 71.90, 72.59, 240162, 174.32, 218, 235819, 98.19
AHLEAST, EQ, 28-Mar-2019, 239.25, 237.00, 244.90, 237.00, 239.00, 238.95, 239.12, 122, 0.29, 23, 58, 47.54
AHLUCONT, EQ, 28-Mar-2019, 329.50, 326.50, 326.50, 321.65, 325.00, 325.10, 324.85, 3683, 11.96, 204, 2645, 71.82
AHLWEST, EQ, 28-Mar-2019, 345.00, 340.10, 340.10, 331.10, 332.00, 333.50, 336.62, 255, 0.86, 37, 245, 96.08
AIAENG, EQ, 28-Mar-2019, 1762.90, 1771.15, 1865.00, 1763.00, 1833.50, 1837.15, 1812.60, 56612, 1026.15, 8649, 30463, 53.81
AIFL, BE, 28-Mar-2019, 12.60, 13.20, 13.20, 13.20, 13.20, 13.20, 13.20, 89428, 11.80, 101, -, -
AIONJSW, EQ, 28-Mar-2019, 23.45, 24.60, 24.60, 23.05, 23.10, 23.50, 23.90, 1525326, 364.59, 687, 1489087, 97.62
AIRAN, SM, 28-Mar-2019, 61.00, 59.30, 62.80, 59.30, 62.80, 60.95, 61.30, 82500, 50.57, 12, 77500, 93.94
AISL, SM, 28-Mar-2019, 68.55, 69.90, 69.90, 67.50, 69.00, 69.00, 67.76, 18000, 12.20, 4, 16800, 93.33
AJANTPHARM, EQ, 28-Mar-2019, 1000.95, 1008.00, 1030.80, 1005.30, 1029.00, 1025.40, 1016.31, 308064, 3130.89, 10831, 81204, 26.36
AJMERA, EQ, 28-Mar-2019, 182.20, 183.40, 188.80, 182.00, 185.95, 185.70, 186.56, 94640, 176.56, 1988, 40844, 43.16
AJOONI, SM, 28-Mar-2019, 22.05, 22.05, 22.05, 19.85, 19.85, 19.85, 20.94, 32000, 6.70, 8, 12000, 37.50
AKSHARCHEM, EQ, 28-Mar-2019, 324.60, 329.40, 339.00, 329.40, 338.95, 337.40, 334.34, 8938, 29.88, 2608, 5589, 62.53
AKSHOPTFBR, EQ, 28-Mar-2019, 19.25, 19.25, 19.75, 19.20, 19.20, 19.30, 19.46, 596799, 116.13, 2229, 197840, 33.15
AKZOINDIA, EQ, 28-Mar-2019, 1767.20, 1769.95, 1792.00, 1750.50, 1750.50, 1786.65, 1782.29, 5968, 106.37, 765, 3528, 59.12
ALANKIT, EQ, 28-Mar-2019, 31.50, 31.25, 32.45, 31.00, 32.40, 32.35, 31.83, 471861, 150.21, 2884, 104721, 22.19
ALBERTDAVD, EQ, 28-Mar-2019, 391.05, 390.00, 397.95, 388.90, 393.00, 394.55, 393.83, 4758, 18.74, 174, 3267, 68.66
ALBK, EQ, 28-Mar-2019, 52.35, 52.35, 55.40, 52.35, 54.85, 54.90, 54.45, 14055512, 7653.70, 30366, 3153287, 22.43
ALCHEM, BE, 28-Mar-2019, 1.90, 1.85, 1.95, 1.85, 1.90, 1.90, 1.89, 1470, 0.03, 18, -, -
ALEMBICLTD, EQ, 28-Mar-2019, 42.10, 42.20, 42.55, 41.10, 41.60, 41.45, 41.74, 175854, 73.40, 908, 133024, 75.64
ALICON, EQ, 28-Mar-2019, 593.80, 590.95, 600.00, 587.60, 593.00, 595.45, 595.01, 5409, 32.18, 205, 5254, 97.13
ALKALI, EQ, 28-Mar-2019, 40.25, 40.25, 42.40, 39.90, 40.30, 40.80, 41.03, 16707, 6.86, 212, 10620, 63.57
ALKEM, EQ, 28-Mar-2019, 1750.35, 1757.00, 1768.80, 1735.40, 1740.00, 1741.70, 1749.67, 65921, 1153.40, 5185, 44072, 66.86
ALKYLAMINE, EQ, 28-Mar-2019, 847.40, 847.50, 856.00, 831.05, 832.60, 835.85, 844.49, 4699, 39.68, 586, 3190, 67.89
ALLCARGO, EQ, 28-Mar-2019, 113.60, 113.65, 118.75, 113.65, 116.50, 116.25, 117.14, 251729, 294.87, 3555, 104157, 41.38
ALLSEC, EQ, 28-Mar-2019, 289.85, 288.00, 291.75, 278.00, 281.00, 281.00, 281.82, 34987, 98.60, 719, 23779, 67.97
ALMONDZ, EQ, 28-Mar-2019, 22.00, 22.00, 23.80, 21.75, 22.20, 22.35, 22.60, 6428, 1.45, 58, 4421, 68.78
ALOKTEXT, EQ, 28-Mar-2019, 5.25, 5.00, 5.00, 5.00, 5.00, 5.00, 5.00, 363907, 18.20, 453, 363907, 100.00
ALPA, EQ, 28-Mar-2019, 27.35, 27.95, 27.95, 26.10, 26.95, 26.85, 26.89, 25075, 6.74, 260, 15773, 62.90
ALPHAGEO, EQ, 28-Mar-2019, 516.45, 516.00, 520.70, 501.00, 504.00, 503.40, 507.96, 7267, 36.91, 981, 3200, 44.03
AMARAJABAT, EQ, 28-Mar-2019, 721.40, 725.00, 731.25, 712.50, 716.50, 717.45, 721.61, 1864739, 13456.15, 32409, 786966, 42.20
AMBER, EQ, 28-Mar-2019, 791.15, 798.00, 810.90, 791.20, 810.00, 805.15, 802.65, 60953, 489.24, 1966, 47587, 78.07
AMBIKCO, EQ, 28-Mar-2019, 1127.85, 1125.30, 1130.00, 1120.05, 1125.00, 1124.90, 1125.67, 1274, 14.34, 218, 983, 77.16
AMBUJACEM, EQ, 28-Mar-2019, 232.25, 232.30, 234.90, 227.50, 233.20, 231.85, 231.23, 5196003, 12014.54, 64230, 3025786, 58.23
AMDIND, EQ, 28-Mar-2019, 19.65, 19.95, 20.55, 19.65, 20.20, 20.15, 20.00, 29846, 5.97, 53, 28189, 94.45
AMJLAND, EQ, 28-Mar-2019, 19.90, 19.95, 20.00, 19.40, 19.40, 19.70, 19.74, 2468, 0.49, 49, 1903, 77.11
AMJUMBO, SM, 28-Mar-2019, 60.60, 54.55, 59.30, 54.55, 54.55, 54.55, 57.86, 22000, 12.73, 7, 14000, 63.64
AMRUTANJAN, EQ, 28-Mar-2019, 308.00, 310.00, 314.00, 307.10, 309.00, 308.10, 309.76, 27531, 85.28, 1014, 19529, 70.93
ANANTRAJ, EQ, 28-Mar-2019, 32.95, 32.95, 33.75, 32.95, 33.25, 33.30, 33.36, 582466, 194.30, 3961, 325963, 55.96
ANDHRABANK, EQ, 28-Mar-2019, 27.10, 27.35, 28.20, 27.30, 27.90, 27.95, 27.67, 6290363, 1740.63, 17103, 1925796, 30.62
ANDHRACEMT, BE, 28-Mar-2019, 4.90, 5.00, 5.10, 4.80, 5.10, 5.05, 4.97, 69745, 3.47, 146, -, -
ANDHRSUGAR, EQ, 28-Mar-2019, 342.75, 342.75, 351.85, 341.70, 342.90, 344.20, 346.68, 20580, 71.35, 753, 8551, 41.55
ANGIND, BE, 28-Mar-2019, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 303, 0.00, 2, -, -
ANIKINDS, EQ, 28-Mar-2019, 15.75, 15.20, 15.95, 15.15, 15.25, 15.50, 15.42, 2753, 0.42, 47, 2235, 81.18
ANKITMETAL, BE, 28-Mar-2019, 0.55, 0.50, 0.55, 0.50, 0.50, 0.50, 0.50, 23860, 0.12, 23, -, -
ANSALAPI, EQ, 28-Mar-2019, 10.90, 11.05, 11.70, 10.80, 11.20, 11.20, 11.28, 101002, 11.39, 350, 56560, 56.00
ANSALHSG, BE, 28-Mar-2019, 12.00, 12.30, 12.40, 11.80, 12.35, 12.25, 12.21, 30703, 3.75, 127, -, -
ANTGRAPHIC, BE, 28-Mar-2019, 0.50, 0.50, 0.50, 0.45, 0.50, 0.50, 0.49, 23659, 0.12, 13, -, -
ANUP, EQ, 28-Mar-2019, 532.45, 531.50, 542.75, 530.20, 533.00, 532.70, 534.87, 26027, 139.21, 1449, 20881, 80.23
APARINDS, EQ, 28-Mar-2019, 660.95, 661.00, 677.10, 657.00, 672.00, 671.55, 663.70, 37488, 248.81, 515, 35356, 94.31
APCL, EQ, 28-Mar-2019, 118.20, 122.95, 123.30, 117.20, 119.90, 119.90, 119.78, 557, 0.67, 40, 304, 54.58
APCOTEXIND, EQ, 28-Mar-2019, 519.80, 513.35, 520.00, 513.35, 516.00, 516.35, 516.71, 2281, 11.79, 194, 891, 39.06
APEX, EQ, 28-Mar-2019, 313.80, 316.00, 350.85, 315.10, 337.65, 338.40, 336.75, 549060, 1848.96, 17368, 101798, 18.54
APLAPOLLO, EQ, 28-Mar-2019, 1434.15, 1429.45, 1470.00, 1429.40, 1450.00, 1448.65, 1451.06, 21649, 314.14, 1514, 13322, 61.54
APLLTD, EQ, 28-Mar-2019, 529.10, 534.40, 534.75, 519.95, 520.90, 520.90, 524.21, 22016, 115.41, 2333, 13896, 63.12
APOLLO, EQ, 28-Mar-2019, 101.10, 102.00, 103.30, 101.00, 102.00, 101.45, 101.99, 16486, 16.81, 380, 12828, 77.81
APOLLOHOSP, EQ, 28-Mar-2019, 1153.75, 1154.00, 1188.00, 1154.00, 1184.15, 1182.95, 1177.32, 693131, 8160.40, 29331, 280464, 40.46
APOLLOTYRE, EQ, 28-Mar-2019, 214.00, 213.30, 219.90, 212.75, 218.30, 217.45, 215.52, 1865135, 4019.82, 20386, 475905, 25.52
APOLSINHOT, BE, 28-Mar-2019, 900.00, 901.00, 902.00, 865.00, 899.00, 882.35, 885.22, 484, 4.28, 23, -, -
APTECHT, EQ, 28-Mar-2019, 180.80, 181.70, 185.20, 178.05, 179.30, 180.05, 182.61, 301571, 550.71, 4583, 100985, 33.49
ARCHIDPLY, EQ, 28-Mar-2019, 39.20, 39.90, 41.00, 39.00, 39.70, 39.95, 39.72, 18422, 7.32, 272, 15170, 82.35
ARCHIES, EQ, 28-Mar-2019, 23.80, 23.90, 25.00, 23.80, 25.00, 24.90, 24.59, 83604, 20.56, 415, 56969, 68.14
ARCOTECH, BE, 28-Mar-2019, 5.55, 5.50, 5.75, 5.30, 5.50, 5.40, 5.45, 77216, 4.21, 191, -, -
ARIES, EQ, 28-Mar-2019, 87.50, 88.85, 90.45, 87.60, 88.00, 88.10, 88.88, 59937, 53.27, 778, 27707, 46.23
ARIHANT, EQ, 28-Mar-2019, 27.70, 27.60, 30.40, 27.60, 28.20, 28.25, 29.28, 1406, 0.41, 19, 1045, 74.32
ARIHANTSUP, BE, 28-Mar-2019, 54.00, 54.90, 55.40, 52.20, 55.40, 53.20, 53.11, 11394, 6.05, 50, -, -
ARMANFIN, EQ, 28-Mar-2019, 372.60, 375.00, 375.00, 364.00, 366.65, 370.95, 371.42, 6632, 24.63, 183, 4450, 67.10
AROGRANITE, EQ, 28-Mar-2019, 49.60, 51.70, 51.80, 48.00, 49.45, 49.45, 49.10, 11309, 5.55, 262, 6993, 61.84
ARROWGREEN, BE, 28-Mar-2019, 74.30, 76.45, 78.00, 74.10, 75.50, 75.90, 75.77, 2189, 1.66, 42, -, -
ARROWTEX, EQ, 28-Mar-2019, 17.85, 18.00, 18.50, 18.00, 18.10, 18.40, 18.31, 5826, 1.07, 39, 5256, 90.22
ARSHIYA, EQ, 28-Mar-2019, 27.15, 27.00, 29.80, 26.95, 29.50, 29.45, 29.12, 146180, 42.56, 679, 116003, 79.36
ARSSINFRA, EQ, 28-Mar-2019, 40.90, 42.45, 42.90, 40.50, 42.05, 42.80, 42.33, 8308, 3.52, 69, 6967, 83.86
ARVIND, EQ, 28-Mar-2019, 87.95, 88.40, 92.50, 88.35, 91.95, 91.85, 90.74, 4215414, 3824.90, 26497, 1230730, 29.20
ARVINDFASN, EQ, 28-Mar-2019, 1004.15, 1004.90, 1026.00, 995.65, 1022.00, 1021.75, 1012.83, 167666, 1698.17, 6500, 92458, 55.14
ARVSMART, EQ, 28-Mar-2019, 119.80, 121.60, 134.95, 120.50, 131.90, 131.55, 132.04, 175119, 231.24, 3201, 49682, 28.37
ASAHIINDIA, EQ, 28-Mar-2019, 255.75, 259.60, 262.00, 256.05, 258.50, 260.35, 260.38, 4049, 10.54, 183, 2312, 57.10
ASAHISONG, EQ, 28-Mar-2019, 160.10, 161.05, 161.45, 149.30, 152.65, 153.35, 157.39, 41822, 65.83, 2427, 33517, 80.14
ASAL, EQ, 28-Mar-2019, 55.85, 54.00, 58.40, 54.00, 54.75, 54.95, 55.60, 5664, 3.15, 101, 3504, 61.86
ASHAPURMIN, EQ, 28-Mar-2019, 28.05, 28.50, 29.20, 27.70, 28.05, 28.30, 28.37, 58625, 16.63, 333, 43077, 73.48
ASHIANA, EQ, 28-Mar-2019, 117.70, 116.75, 118.85, 114.75, 114.75, 115.50, 116.62, 25641, 29.90, 459, 16834, 65.65
ASHIMASYN, BE, 28-Mar-2019, 11.30, 11.60, 11.85, 11.40, 11.70, 11.70, 11.62, 64340, 7.48, 92, -, -
ASHOKA, EQ, 28-Mar-2019, 130.95, 132.00, 132.90, 128.55, 129.50, 129.80, 130.50, 268966, 351.01, 11027, 163155, 60.66
ASHOKLEY, EQ, 28-Mar-2019, 85.45, 85.60, 89.70, 85.30, 89.10, 88.60, 87.46, 26677216, 23330.64, 90466, 7905844, 29.64
ASIANHOTNR, EQ, 28-Mar-2019, 138.60, 139.95, 141.70, 136.15, 139.00, 139.00, 139.84, 278, 0.39, 53, 148, 53.24
ASIANPAINT, EQ, 28-Mar-2019, 1472.05, 1473.50, 1508.95, 1473.50, 1500.15, 1497.00, 1489.53, 1353947, 20167.43, 52343, 800640, 59.13
ASIANTILES, EQ, 28-Mar-2019, 229.45, 233.00, 240.00, 225.35, 238.85, 238.95, 236.87, 150218, 355.82, 1932, 90913, 60.52
ASPINWALL, EQ, 28-Mar-2019, 168.95, 168.00, 180.00, 168.00, 169.00, 169.00, 176.12, 3412, 6.01, 65, 3388, 99.30
ASSAMCO, BE, 28-Mar-2019, 2.10, 2.10, 2.20, 2.00, 2.10, 2.15, 2.10, 161961, 3.40, 152, -, -
ASTEC, EQ, 28-Mar-2019, 535.30, 534.75, 546.80, 531.15, 538.00, 534.95, 540.66, 10290, 55.63, 622, 7501, 72.90
ASTERDM, EQ, 28-Mar-2019, 156.10, 155.60, 157.40, 153.70, 154.00, 154.50, 155.02, 49777, 77.17, 2712, 23705, 47.62
ASTRAL, EQ, 28-Mar-2019, 1138.50, 1141.75, 1165.00, 1140.10, 1142.00, 1147.80, 1153.61, 35278, 406.97, 3635, 15247, 43.22
ASTRAMICRO, EQ, 28-Mar-2019, 103.70, 103.95, 105.60, 94.50, 97.20, 97.05, 98.74, 863015, 852.15, 6417, 420231, 48.69
ASTRAZEN, EQ, 28-Mar-2019, 1952.25, 1968.50, 1971.55, 1935.00, 1961.00, 1959.40, 1953.76, 3964, 77.45, 646, 2105, 53.10
ASTRON, EQ, 28-Mar-2019, 104.90, 105.90, 107.70, 96.20, 99.90, 100.05, 101.49, 555653, 563.94, 3714, 211602, 38.08
ATFL, EQ, 28-Mar-2019, 579.05, 582.05, 598.00, 579.30, 580.70, 581.20, 586.15, 5867, 34.39, 398, 3231, 55.07
ATLANTA, EQ, 28-Mar-2019, 18.70, 18.80, 19.10, 18.70, 18.80, 18.85, 18.81, 28446, 5.35, 136, 20608, 72.45
ATLASCYCLE, BE, 28-Mar-2019, 83.35, 79.30, 85.95, 79.30, 84.50, 82.35, 83.15, 2463, 2.05, 42, -, -
ATUL, EQ, 28-Mar-2019, 3527.30, 3503.15, 3565.30, 3475.00, 3528.95, 3533.20, 3512.51, 11078, 389.12, 3107, 5915, 53.39
ATULAUTO, EQ, 28-Mar-2019, 334.25, 338.90, 340.50, 335.90, 340.50, 338.85, 338.40, 9471, 32.05, 464, 7695, 81.25
AUBANK, EQ, 28-Mar-2019, 574.55, 578.00, 590.00, 569.00, 588.00, 588.35, 582.88, 307345, 1791.44, 11781, 173797, 56.55
AURDIS, SM, 28-Mar-2019, 28.15, 29.00, 29.00, 29.00, 29.00, 29.00, 29.00, 2000, 0.58, 1, 2000, 100.00
AURIONPRO, EQ, 28-Mar-2019, 130.35, 132.90, 134.00, 129.65, 133.50, 131.95, 131.90, 22760, 30.02, 589, 12276, 53.94
AUROPHARMA, EQ, 28-Mar-2019, 775.05, 779.90, 779.90, 765.75, 770.25, 769.25, 769.76, 2428881, 18696.46, 29719, 1571629, 64.71
AUSOMENT, EQ, 28-Mar-2019, 35.85, 35.80, 37.50, 34.10, 35.25, 35.25, 35.04, 2613, 0.92, 29, 2278, 87.18
AUTOAXLES, EQ, 28-Mar-2019, 1255.65, 1268.70, 1295.00, 1247.75, 1280.00, 1284.90, 1282.52, 29875, 383.15, 4314, 23663, 79.21
AUTOIND, EQ, 28-Mar-2019, 51.90, 51.50, 54.00, 51.00, 52.25, 52.40, 52.19, 57389, 29.95, 466, 33248, 57.93
AUTOLITIND, EQ, 28-Mar-2019, 38.15, 39.65, 39.65, 38.20, 38.90, 38.90, 38.38, 7725, 2.96, 32, 6950, 89.97
AVADHSUGAR, EQ, 28-Mar-2019, 474.10, 477.40, 496.85, 475.25, 477.05, 478.50, 486.64, 80865, 393.53, 2512, 23643, 29.24
AVANTIFEED, EQ, 28-Mar-2019, 420.10, 423.60, 438.00, 411.25, 418.85, 419.45, 427.52, 1340278, 5729.92, 29694, 295013, 22.01
AVG, SM, 28-Mar-2019, 82.50, 82.00, 82.00, 82.00, 82.00, 82.00, 82.00, 1200, 0.98, 1, 1200, 100.00
AVTNPL, EQ, 28-Mar-2019, 27.05, 27.75, 27.90, 26.20, 26.55, 26.60, 26.74, 60671, 16.22, 350, 45422, 74.87
AXISBANK, EQ, 28-Mar-2019, 759.30, 761.10, 787.65, 757.15, 775.80, 780.70, 775.22, 16643818, 129026.86, 175012, 10598619, 63.68
AXISCADES, EQ, 28-Mar-2019, 62.90, 62.00, 64.60, 60.35, 62.30, 62.25, 62.40, 55033, 34.34, 1018, 33703, 61.24
AXISGOLD, EQ, 28-Mar-2019, 2812.80, 2812.00, 2837.00, 2784.00, 2802.95, 2807.85, 2806.81, 293, 8.22, 74, 178, 60.75
AXISNIFTY, EQ, 28-Mar-2019, 1164.59, 1185.00, 1185.00, 1170.28, 1171.29, 1171.29, 1173.78, 24, 0.28, 6, 22, 91.67
AYMSYNTEX, EQ, 28-Mar-2019, 36.10, 37.25, 37.30, 34.60, 34.60, 35.15, 35.75, 24886, 8.90, 88, 22911, 92.06
BAFNAPHARM, EQ, 28-Mar-2019, 9.65, 9.75, 10.00, 9.75, 9.95, 9.95, 9.91, 1098, 0.11, 24, 872, 79.42
BAGFILMS, EQ, 28-Mar-2019, 4.70, 4.70, 4.75, 4.60, 4.75, 4.70, 4.69, 98254, 4.61, 139, 78410, 79.80
BAJAJ-AUTO, EQ, 28-Mar-2019, 2980.10, 2989.00, 3020.45, 2915.00, 2954.00, 2948.80, 2975.72, 1800550, 53579.31, 58564, 909180, 50.49
BAJAJCON, EQ, 28-Mar-2019, 316.80, 316.00, 318.50, 312.00, 312.70, 312.80, 314.25, 179564, 564.29, 5189, 132248, 73.65
BAJAJELEC, EQ, 28-Mar-2019, 559.50, 565.00, 571.80, 561.50, 568.00, 566.55, 567.28, 325935, 1848.97, 12105, 97130, 29.80
BAJAJFINSV, EQ, 28-Mar-2019, 6980.35, 6994.00, 7022.70, 6857.50, 6970.00, 6952.55, 6940.59, 328240, 22781.79, 41230, 157531, 47.99
BAJAJHIND, EQ, 28-Mar-2019, 8.00, 8.05, 8.20, 7.95, 7.95, 8.00, 8.02, 1719938, 137.91, 1353, 873708, 50.80
BAJAJHLDNG, EQ, 28-Mar-2019, 3273.75, 3237.00, 3800.00, 3237.00, 3600.00, 3593.65, 3580.42, 240494, 8610.71, 13807, 175327, 72.90
BAJFINANCE, EQ, 28-Mar-2019, 2945.25, 2940.10, 3000.00, 2940.05, 2993.00, 2995.85, 2977.68, 1366945, 40703.27, 81096, 437392, 32.00
BALAJITELE, EQ, 28-Mar-2019, 84.10, 84.50, 84.50, 81.80, 81.80, 82.10, 82.70, 84116, 69.57, 946, 62430, 74.22
BALAMINES, EQ, 28-Mar-2019, 498.90, 498.90, 509.00, 489.00, 490.00, 494.65, 500.98, 32312, 161.88, 2437, 12398, 38.37
BALAXI, EQ, 28-Mar-2019, 34.50, 36.20, 36.20, 36.20, 36.20, 36.20, 36.20, 4, 0.00, 3, 4, 100.00
BALKRISHNA, EQ, 28-Mar-2019, 36.80, 36.75, 37.75, 36.10, 37.20, 36.85, 37.11, 14882, 5.52, 259, 8519, 57.24
BALKRISIND, EQ, 28-Mar-2019, 962.85, 963.00, 999.00, 961.05, 990.20, 990.75, 981.82, 1243600, 12209.97, 37967, 260760, 20.97
