SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NHAI, N4, 28-Mar-2019, 1124.99, 1124.90, 1124.90, 1082.20, 1082.20, 1082.20, 1123.12, 120, 1.35, 2, 115, 95.83
NHAI, N6, 28-Mar-2019, 1215.00, 1216.00, 1216.00, 1214.00, 1214.00, 1214.00, 1215.04, 145, 1.76, 5, 145, 100.00
NHAI, N8, 28-Mar-2019, 1063.20, 1064.00, 1064.00, 1064.00, 1064.00, 1064.00, 1064.00, 10, 0.11, 1, 10, 100.00
NHAI, NA, 28-Mar-2019, 1120.42, 1121.00, 1124.99, 1120.00, 1120.10, 1120.43, 1120.91, 1097, 12.30, 19, 1072, 97.72
NHBTF2014, N6, 28-Mar-2019, 6445.01, 6450.00, 6468.00, 6415.00, 6465.00, 6465.00, 6453.59, 268, 17.30, 6, 268, 100.00
NHPC, EQ, 28-Mar-2019, 24.65, 24.60, 24.85, 24.55, 24.65, 24.60, 24.66, 4853031, 1196.73, 4558, 2907540, 59.91
NIACL, EQ, 28-Mar-2019, 194.25, 192.70, 199.90, 186.50, 188.50, 191.70, 194.15, 1030471, 2000.67, 5997, 891534, 86.52
NIBL, EQ, 28-Mar-2019, 19.70, 19.10, 19.65, 18.85, 19.00, 19.15, 19.13, 8029, 1.54, 69, 4927, 61.37
NIFTYBEES, EQ, 28-Mar-2019, 1201.02, 1201.00, 1215.00, 1201.00, 1215.00, 1209.77, 1205.71, 152884, 1843.33, 1255, 114692, 75.02
NIFTYEES, EQ, 28-Mar-2019, 13500.00, 13411.00, 13411.00, 13411.00, 13411.00, 13411.00, 13411.00, 1, 0.13, 1, 1, 100.00
NIITLTD, EQ, 28-Mar-2019, 91.50, 92.20, 92.40, 89.00, 89.60, 89.70, 90.57, 659195, 597.03, 2879, 394496, 59.85
