,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,1003GS2019,GS,69.66,69.66,69.0,69.0,69.0,69.66,16,1109.28,16-APR-2019,14,IN0020010065
1,20MICRONS,EQ,38.25,39.15,37.6,38.75,39.0,38.3,28685,1104942.1,16-APR-2019,357,INE144J01027
2,21STCENMGM,EQ,24.05,24.05,24.05,24.05,24.05,23.6,1018,24482.9,16-APR-2019,14,INE253B01015
3,3IINFOTECH,EQ,3.75,3.9,3.7,3.75,3.75,3.7,1406081,5336612.2,16-APR-2019,624,INE748C01020
4,3MINDIA,EQ,24925.05,25439.95,24802.05,24924.35,25100.0,24998.55,3145,78610080.8,16-APR-2019,1533,INE470A01017
5,3PLAND,EQ,11.1,11.1,10.45,10.6,11.05,10.1,1810,19424.25,16-APR-2019,6,INE105C01023
6,5PAISA,EQ,234.0,237.0,230.05,235.05,236.0,229.75,14423,3358608.85,16-APR-2019,346,INE618L01018
7,63MOONS,EQ,110.0,131.5,110.0,128.2,131.5,109.6,3755276,454270203.55,16-APR-2019,29833,INE111B01023
8,8KMILES,EQ,128.2,135.55,128.1,135.55,135.55,123.25,353410,47231585.5,16-APR-2019,2686,INE650K01021
9,A2ZINFRA,EQ,18.8,19.45,18.3,18.8,18.7,18.6,675415,12732526.3,16-APR-2019,1011,INE619I01012
10,AARON,SM,50.0,51.5,46.0,49.8,49.8,49.4,21000,1015050.0,16-APR-2019,7,INE721Z01010
11,AARTIDRUGS,EQ,633.6,633.6,625.0,627.6,631.5,628.55,5051,3171654.05,16-APR-2019,307,INE767A01016
12,AARTIIND,EQ,1636.0,1642.95,1615.0,1631.85,1630.0,1630.3,31501,51297571.05,16-APR-2019,2812,INE769A01020
13,AARVEEDEN,EQ,24.35,24.6,23.45,23.9,23.95,24.05,4001,96750.1,16-APR-2019,60,INE273D01019
14,AARVI,SM,44.5,44.5,44.5,44.5,44.5,44.0,2000,89000.0,16-APR-2019,1,INE754X01016
15,AAVAS,EQ,1150.95,1170.1,1150.0,1152.05,1150.0,1169.9,6454,7477285.55,16-APR-2019,741,INE216P01012
16,ABAN,BE,58.5,59.2,58.0,58.15,58.05,58.4,41292,2416804.95,16-APR-2019,373,INE421A01028
17,ABB,EQ,1432.0,1436.9,1410.0,1411.65,1412.75,1423.3,159112,226626821.65,16-APR-2019,2685,INE117A01022
18,ABBOTINDIA,EQ,7898.7,8080.0,7840.0,8030.5,8044.9,7827.1,12768,102051285.3,16-APR-2019,2550,INE358A01014
