,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,38.0,38.7,37.35,38.45,38.55,38.0,15352,586729.8,25-APR-2019,303,INE144J01027
1,21STCENMGM,EQ,23.55,23.55,23.55,23.55,23.55,24.0,100,2355.0,25-APR-2019,1,INE253B01015
2,3IINFOTECH,EQ,4.15,4.15,4.0,4.1,4.05,4.15,2001275,8177151.7,25-APR-2019,726,INE748C01020
3,3MINDIA,EQ,24602.05,24927.85,24602.05,24871.0,24870.05,24672.75,419,10413215.15,25-APR-2019,212,INE470A01017
4,3PLAND,BE,11.05,11.4,11.05,11.3,11.3,11.35,259,2934.95,25-APR-2019,6,INE105C01023
5,5PAISA,EQ,305.0,312.9,298.0,303.4,309.95,301.35,15512,4683208.55,25-APR-2019,612,INE618L01018
6,63MOONS,EQ,114.0,118.8,109.25,113.85,114.5,113.05,1072933,122364964.3,25-APR-2019,11036,INE111B01023
7,8KMILES,EQ,120.0,121.15,114.3,115.2,115.8,119.45,117201,13755081.2,25-APR-2019,1875,INE650K01021
8,A2ZINFRA,EQ,17.55,17.8,17.5,17.7,17.75,17.85,326056,5773475.4,25-APR-2019,338,INE619I01012
9,AARON,SM,46.5,46.5,46.5,46.5,46.5,44.65,3000,139500.0,25-APR-2019,1,INE721Z01010
10,AARTIDRUGS,EQ,629.95,629.95,621.6,624.05,624.0,628.6,3971,2483150.75,25-APR-2019,223,INE767A01016
11,AARTIIND,EQ,1568.0,1599.0,1560.0,1587.8,1581.45,1559.25,26266,41653106.55,25-APR-2019,2801,INE769A01020
12,AARVEEDEN,EQ,23.9,23.95,22.7,23.65,23.9,23.5,5075,119376.05,25-APR-2019,87,INE273D01019
13,AARVI,SM,44.5,44.5,44.5,44.5,44.5,43.5,2000,89000.0,25-APR-2019,1,INE754X01016
14,AAVAS,EQ,1113.5,1170.95,1110.0,1169.3,1169.1,1111.25,18761,21755332.9,25-APR-2019,2926,INE216P01012
15,ABAN,BE,57.4,58.45,57.3,57.9,57.4,57.9,28509,1648850.1,25-APR-2019,318,INE421A01028
16,ABB,EQ,1498.0,1499.8,1475.0,1494.4,1498.0,1491.35,47180,70167402.45,25-APR-2019,3482,INE117A01022
17,ABBOTINDIA,EQ,7825.0,7890.0,7613.0,7640.25,7660.0,7825.75,3733,28787304.5,25-APR-2019,932,INE358A01014
18,ABCAPITAL,EQ,98.8,99.8,98.05,98.25,98.35,98.45,1181631,116918058.4,25-APR-2019,8645,INE674K01013
19,ABFRL,EQ,217.0,220.15,214.15,216.5,215.3,216.85,884316,191956496.6,25-APR-2019,16768,INE647O01011
20,ABGSHIP,BZ,1.55,1.6,1.55,1.55,1.55,1.6,6047,9519.95,25-APR-2019,22,INE067H01016
21,ABSLNN50ET,EQ,333.0,333.0,313.0,313.0,313.0,320.0,20,6324.0,25-APR-2019,5,INF209KB1B87
22,ACC,EQ,1606.0,1664.75,1603.0,1623.0,1623.1,1606.0,2274945,3721905798.0,25-APR-2019,64771,INE012A01025
23,ACCELYA,EQ,929.2,933.95,925.2,927.2,927.8,929.2,1305,1211104.0,25-APR-2019,224,INE793A01012
24,ACCORD,SM,26.75,26.75,26.75,26.75,26.75,28.5,2000,53500.0,25-APR-2019,1,INE113X01015
25,ACE,EQ,103.3,103.8,101.0,101.5,101.5,103.1,186110,19082491.1,25-APR-2019,4669,INE731H01025
26,ADANIENT,EQ,135.1,137.0,133.85,134.75,134.75,136.15,2112063,285956968.45,25-APR-2019,12112,INE423A01024
27,ADANIGAS,EQ,152.45,152.65,145.2,146.15,146.05,151.2,499126,74122762.7,25-APR-2019,5505,INE399L01023
28,ADANIGREEN,EQ,44.75,45.1,43.5,43.8,43.85,44.7,599113,26527999.5,25-APR-2019,2385,INE364U01010
29,ADANIPORTS,EQ,390.0,392.9,387.65,389.25,389.0,391.75,5163069,2014796817.4,25-APR-2019,41910,INE742F01042
30,ADANIPOWER,EQ,53.0,53.55,50.15,50.7,50.75,52.7,13776777,716570181.05,25-APR-2019,18913,INE814H01011
31,ADANITRANS,EQ,219.65,229.6,219.45,220.6,220.0,219.75,118347,26564603.7,25-APR-2019,2602,INE931S01010
32,ADFFOODS,EQ,246.25,246.55,242.25,244.0,243.0,245.3,8774,2139352.7,25-APR-2019,284,INE982B01019
33,ADHUNIK,BE,2.05,2.1,2.05,2.05,2.05,2.15,20254,41657.2,25-APR-2019,46,INE400H01019
34,ADHUNIKIND,EQ,65.25,66.3,64.55,65.25,65.0,65.25,36485,2372648.95,25-APR-2019,141,INE452L01012
35,ADLABS,EQ,9.0,9.05,8.8,8.85,8.9,9.0,136686,1220740.8,25-APR-2019,248,INE172N01012
36,ADORWELD,EQ,333.05,336.05,332.15,333.05,333.0,333.05,3962,1322995.05,25-APR-2019,168,INE045A01017
37,ADROITINFO,BE,16.55,16.55,15.1,15.1,15.1,15.85,1782,26947.7,25-APR-2019,15,INE737B01033
38,ADSL,EQ,16.0,16.5,14.8,15.55,15.75,16.2,60961,948350.5,25-APR-2019,277,INE102I01027
39,ADVANIHOTR,EQ,67.95,68.0,66.25,66.95,66.75,67.6,1307,88133.45,25-APR-2019,38,INE199C01026
40,ADVENZYMES,EQ,190.5,195.0,190.15,191.25,191.8,190.0,79660,15287403.45,25-APR-2019,1052,INE837H01020
41,AEGISCHEM,EQ,197.0,197.6,193.65,195.1,195.1,196.6,81007,15829396.1,25-APR-2019,1759,INE208C01025
42,AGARIND,EQ,181.7,189.8,178.5,179.7,179.5,181.75,11687,2137832.5,25-APR-2019,163,INE204E01012
43,AGCNET,EQ,117.9,117.9,111.0,112.05,111.0,113.7,4568,519768.75,25-APR-2019,95,INE676A01019
44,AGLSL,EQ,58.05,58.55,57.15,58.15,58.2,57.2,278,16052.35,25-APR-2019,45,INE517U01013
45,AGRITECH,EQ,65.25,66.05,63.15,63.85,64.25,64.85,23598,1515848.9,25-APR-2019,363,INE449G01018
46,AGROPHOS,BE,70.0,70.0,66.75,67.6,66.75,69.95,515,36020.25,25-APR-2019,6,INE740V01019
47,AHIMSA,SM,26.8,26.8,26.8,26.8,26.8,28.5,12000,321600.0,25-APR-2019,2,INE136T01014
48,AHLADA,SM,80.95,88.8,80.0,83.0,83.0,74.0,26000,2213500.0,25-APR-2019,25,INE00PV01013
49,AHLEAST,EQ,240.0,240.0,236.2,236.5,236.5,236.0,64,15165.25,25-APR-2019,9,INE926K01017
50,AHLUCONT,EQ,321.1,324.0,319.95,320.95,320.0,322.6,3998,1282845.75,25-APR-2019,131,INE758C01029
51,AHLWEST,EQ,368.0,372.0,364.0,372.0,372.0,379.0,12,4388.0,25-APR-2019,6,INE915K01010
52,AIAENG,EQ,1803.3,1809.0,1780.0,1795.1,1809.0,1800.5,2255,4040608.45,25-APR-2019,356,INE212H01026
53,AIFL,BE,10.6,11.25,10.6,10.75,11.0,10.95,27447,295582.6,25-APR-2019,143,INE428O01016
54,AIONJSW,EQ,25.45,25.7,24.75,25.1,25.2,25.35,28181,710866.7,25-APR-2019,163,INE743C01021
55,AIRAN,SM,39.0,39.0,38.5,38.5,38.5,38.7,15000,582500.0,25-APR-2019,3,INE645W01026
56,AJANTPHARM,EQ,1022.0,1046.0,1022.0,1029.9,1033.8,1023.35,251012,260012982.85,25-APR-2019,7592,INE031B01049
57,AJMERA,EQ,176.5,179.3,172.65,173.2,173.55,176.95,22109,3890607.3,25-APR-2019,728,INE298G01027
58,AJOONI,SM,18.25,18.25,18.25,18.25,18.25,18.05,4000,73000.0,25-APR-2019,1,INE820Y01013
59,AKASH,SM,51.0,51.0,51.0,51.0,51.0,52.5,2000,102000.0,25-APR-2019,1,INE737W01013
60,AKG,SM,35.5,35.75,35.0,35.0,35.0,34.0,60000,2129000.0,25-APR-2019,3,INE00Y801016
61,AKSHARCHEM,EQ,335.2,335.2,328.0,329.3,328.0,337.25,2124,703997.75,25-APR-2019,146,INE542B01011
62,AKSHOPTFBR,EQ,17.05,17.35,17.05,17.1,17.05,17.1,252710,4336463.05,25-APR-2019,689,INE523B01011
63,AKZOINDIA,EQ,1750.1,1755.8,1730.2,1735.35,1740.0,1754.2,2087,3636179.6,25-APR-2019,325,INE133A01011
64,ALANKIT,EQ,37.5,38.85,36.6,37.95,38.1,37.25,738837,28224968.5,25-APR-2019,3249,INE914E01040
65,ALBERTDAVD,EQ,394.35,395.0,387.0,388.6,388.5,390.05,3984,1554636.6,25-APR-2019,201,INE155C01010
66,ALBK,EQ,50.25,51.55,49.0,49.65,49.4,49.85,13182518,660849218.85,25-APR-2019,23129,INE428A01015
67,ALCHEM,BE,1.9,1.9,1.85,1.9,1.9,1.9,892,1689.8,25-APR-2019,8,INE964B01033
68,ALEMBICLTD,EQ,42.95,42.95,42.15,42.25,42.2,42.45,83248,3531533.7,25-APR-2019,332,INE426A01027
69,ALICON,EQ,630.2,642.7,630.2,640.25,642.7,634.15,5122,3278943.85,25-APR-2019,342,INE062D01024
70,ALKALI,EQ,44.3,44.6,43.45,43.85,43.85,44.3,1196,52442.0,25-APR-2019,64,INE773I01017
71,ALKEM,EQ,1727.05,1734.0,1700.0,1703.45,1704.9,1722.2,741693,1263858298.9,25-APR-2019,4032,INE540L01014
72,ALKYLAMINE,EQ,885.4,896.5,867.05,872.8,875.0,886.9,2374,2100065.25,25-APR-2019,203,INE150B01021
73,ALLCARGO,EQ,112.0,114.0,110.5,111.3,111.45,112.6,57727,6484854.6,25-APR-2019,1005,INE418H01029
74,ALLSEC,BE,310.0,315.8,303.5,312.1,312.0,310.65,62734,19489102.35,25-APR-2019,146,INE835G01018
75,ALMONDZ,EQ,22.0,22.0,21.0,21.7,21.75,21.55,160,3413.4,25-APR-2019,21,INE326B01027
76,ALOKTEXT,BE,4.4,4.45,4.2,4.2,4.25,4.4,1756267,7489180.3,25-APR-2019,1437,INE270A01011
77,ALPA,EQ,25.2,25.7,25.0,25.15,25.0,25.1,5720,144181.85,25-APR-2019,68,INE385I01010
78,ALPHAGEO,EQ,471.55,475.65,465.95,470.65,470.6,468.3,1861,876283.9,25-APR-2019,358,INE137C01018
79,ALPSINDUS,BE,1.75,1.75,1.7,1.7,1.7,1.75,11519,19622.2,25-APR-2019,16,INE093B01015
80,AMARAJABAT,EQ,675.55,677.75,666.1,668.95,668.95,674.35,217483,146174075.45,25-APR-2019,10563,INE885A01032
81,AMBER,EQ,820.1,831.0,813.25,817.85,818.0,825.45,4846,3980811.9,25-APR-2019,460,INE371P01015
82,AMBIKCO,EQ,1125.05,1129.5,1113.05,1123.15,1120.0,1122.35,1174,1317221.4,25-APR-2019,162,INE540G01014
83,AMBUJACEM,EQ,222.35,229.85,219.5,220.55,221.35,224.1,7167694,1602649822.25,25-APR-2019,48333,INE079A01024
84,AMDIND,EQ,21.35,21.7,20.45,20.7,20.6,20.9,4521,93730.4,25-APR-2019,67,INE005I01014
85,AMJLAND,EQ,19.45,20.25,19.25,19.7,19.65,19.25,4426,87384.8,25-APR-2019,38,INE606A01024
86,AMJUMBO,SM,49.6,49.6,49.6,49.6,49.6,48.0,2000,99200.0,25-APR-2019,1,INE749Y01014
87,AMRUTANJAN,EQ,303.45,307.0,300.1,301.0,301.95,303.5,16588,5029210.05,25-APR-2019,705,INE098F01031
88,ANANTRAJ,EQ,32.45,32.45,31.4,31.5,31.7,31.95,148638,4724000.5,25-APR-2019,602,INE242C01024
89,ANDHRABANK,EQ,27.7,27.85,27.3,27.35,27.35,27.6,556579,15345100.8,25-APR-2019,1588,INE434A01013
90,ANDHRACEMT,BE,4.7,4.7,4.5,4.6,4.6,4.55,51980,239866.2,25-APR-2019,116,INE666E01012
91,ANDHRSUGAR,EQ,351.85,364.45,351.8,354.2,355.0,353.65,35093,12605717.45,25-APR-2019,1287,INE715B01013
92,ANGIND,BZ,0.9,0.95,0.85,0.95,0.95,0.9,4420,3955.1,25-APR-2019,15,INE017D01010
93,ANIKINDS,EQ,14.85,15.0,14.7,14.9,14.9,14.85,869,12914.2,25-APR-2019,24,INE087B01017
94,ANKITMETAL,BE,0.55,0.55,0.5,0.55,0.55,0.55,18531,10106.8,25-APR-2019,18,INE106I01010
95,ANSALAPI,EQ,11.0,11.15,10.85,10.9,10.9,11.0,23036,252905.15,25-APR-2019,106,INE436A01026
96,ANSALHSG,EQ,12.2,12.3,11.8,11.95,12.0,12.1,39653,477321.05,25-APR-2019,148,INE880B01015
97,ANTGRAPHIC,BE,0.8,0.8,0.7,0.8,0.8,0.75,63259,47480.6,25-APR-2019,51,INE414B01021
98,ANUP,EQ,481.2,485.35,475.05,479.15,475.7,481.2,52917,25376553.65,25-APR-2019,2608,INE294Z01018
99,APARINDS,EQ,678.0,680.1,667.1,670.2,667.1,680.8,1929,1301274.35,25-APR-2019,298,INE372A01015
100,APCL,EQ,135.5,160.0,132.6,143.45,147.0,134.95,28168,4195337.4,25-APR-2019,742,INE071F01012
101,APCOTEXIND,EQ,542.0,544.6,536.65,540.6,542.5,542.05,7237,3908972.4,25-APR-2019,351,INE116A01024
102,APEX,EQ,321.0,325.9,316.45,318.45,317.0,319.9,42589,13609262.15,25-APR-2019,1497,INE346W01013
103,APLAPOLLO,EQ,1589.95,1605.0,1550.1,1562.3,1580.0,1589.95,10247,16200140.55,25-APR-2019,983,INE702C01019
104,APLLTD,EQ,529.95,536.1,529.95,533.2,533.85,530.3,17796,9492064.4,25-APR-2019,1014,INE901L01018
105,APOLLO,EQ,131.5,131.5,128.0,129.65,130.0,129.7,12434,1611545.8,25-APR-2019,342,INE713T01010
