,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
575,GPTINFRA,EQ,58.6,58.6,58.0,58.0,58.0,58.65,550,31995.0,26-APR-2019,9,INE390G01014
576,GRANULES,EQ,115.0,116.4,113.5,113.8,113.9,114.85,442138,50652327.45,26-APR-2019,7065,INE101D01020
577,GRAPHITE,EQ,409.5,414.0,405.35,407.0,407.2,408.4,836899,342017009.75,26-APR-2019,16021,INE371A01025
578,GRASIM,EQ,926.45,934.0,898.1,913.45,911.3,924.8,2545038,2324570087.5,26-APR-2019,55215,INE047A01021
579,GRAVITA,EQ,87.5,92.0,84.0,85.5,84.3,87.65,196449,17210175.65,26-APR-2019,1479,INE024L01027
580,GREAVESCOT,EQ,142.85,143.1,139.4,140.3,141.35,142.0,86331,12151651.5,26-APR-2019,2761,INE224A01026
581,GREENLAM,EQ,969.95,972.0,927.9,944.1,946.0,950.35,11757,11120194.55,26-APR-2019,400,INE544R01013
582,GREENPLY,EQ,168.4,169.7,166.65,167.4,166.65,168.1,34621,5831093.65,26-APR-2019,849,INE461C01038
583,GREENPOWER,BE,3.55,3.65,3.5,3.65,3.65,3.55,30738,110866.85,26-APR-2019,44,INE999K01014
584,GRINDWELL,EQ,594.45,607.5,594.45,607.4,607.4,600.9,6339,3836836.85,26-APR-2019,310,INE536A01023
585,GROBTEA,EQ,408.35,409.95,395.0,408.9,409.0,402.0,214,87358.65,26-APR-2019,31,INE646C01018
586,GRPLTD,EQ,1025.0,1100.0,1016.0,1075.4,1080.0,1050.0,436,471129.4,26-APR-2019,42,INE137I01015
587,GRSE,EQ,96.85,97.1,96.05,96.9,97.1,96.0,1706,164795.8,26-APR-2019,76,INE382Z01011
588,GRUH,EQ,311.75,316.25,307.45,313.75,313.25,314.8,514850,160999304.7,26-APR-2019,10628,INE580B01029
589,GSCLCEMENT,EQ,22.2,22.2,21.6,21.75,21.75,21.8,7116,155022.1,26-APR-2019,70,INE542A01039
590,GSFC,EQ,102.1,102.8,101.0,101.3,101.15,102.2,500733,50961280.75,26-APR-2019,3242,INE026A01025
591,GSKCONS,EQ,7199.0,7245.0,7155.1,7189.9,7189.5,7194.55,13148,94529649.7,26-APR-2019,2517,INE264A01014
592,GSPL,EQ,190.0,196.9,189.55,195.95,194.75,191.35,496903,95722145.2,26-APR-2019,6846,INE246F01010
593,GSS,EQ,126.7,134.25,126.7,131.1,131.55,126.25,399153,52149849.1,26-APR-2019,3001,INE871H01011
594,GTL,EQ,4.3,4.45,4.2,4.25,4.25,4.35,38153,163640.4,26-APR-2019,89,INE043A01012
595,GTLINFRA,EQ,0.95,0.95,0.9,0.9,0.9,0.9,1528434,1407718.6,26-APR-2019,321,INE221H01019
596,GTNIND,EQ,10.35,10.4,9.7,10.1,10.1,10.25,2911,28974.5,26-APR-2019,28,INE537A01013
597,GTNTEX,BE,11.6,11.6,11.15,11.15,11.15,11.7,3102,35937.3,26-APR-2019,3,INE302H01017
598,GTPL,EQ,65.65,71.5,53.3,66.05,66.1,65.0,77011,4977584.0,26-APR-2019,1672,INE869I01013
599,GUFICBIO,EQ,84.05,84.8,81.05,82.0,82.0,83.5,27953,2322152.1,26-APR-2019,727,INE742B01025
600,GUJALKALI,EQ,485.5,497.05,484.3,486.9,488.35,483.65,31590,15494962.45,26-APR-2019,1728,INE186A01019
601,GUJAPOLLO,EQ,159.1,159.1,156.35,157.6,157.5,160.9,783,123257.45,26-APR-2019,61,INE826C01016
602,GUJFLUORO,EQ,1030.05,1045.0,1018.05,1039.25,1045.0,1033.75,68743,70969944.05,26-APR-2019,1458,INE538A01037
603,GUJGASLTD,EQ,157.75,160.0,156.75,157.85,156.95,157.75,241496,38280146.45,26-APR-2019,3354,INE844O01030
604,GULFOILLUB,EQ,850.0,869.9,836.0,864.9,865.0,859.5,13693,11688620.8,26-APR-2019,1329,INE635Q01029
605,GULFPETRO,EQ,67.15,70.0,66.8,67.5,70.0,67.75,6533,440783.4,26-APR-2019,138,INE586G01017
606,GULPOLY,EQ,54.65,54.8,52.4,52.8,53.3,53.9,11697,623070.1,26-APR-2019,231,INE255D01024
607,GVKPIL,EQ,7.6,7.65,7.4,7.5,7.5,7.55,2308844,17292688.85,26-APR-2019,955,INE251H01024
608,H1190M36RG,MF,12.18,12.2,12.15,12.19,12.2,12.18,18560,225650.0,26-APR-2019,14,INF179KB1PA4
609,HAL,EQ,684.9,686.1,670.0,677.7,675.0,677.55,9810,6665449.55,26-APR-2019,942,INE066F01012
610,HARITASEAT,EQ,485.85,494.8,480.0,483.7,487.0,493.8,1829,889880.25,26-APR-2019,145,INE939D01015
611,HARRMALAYA,EQ,70.1,70.9,69.35,69.75,69.6,70.65,14876,1042791.85,26-APR-2019,215,INE544A01019
612,HATHWAY,EQ,29.0,29.4,28.5,29.0,28.9,29.3,93243,2712513.5,26-APR-2019,1087,INE982F01036
613,HATSUN,E1,565.1,565.1,565.1,565.1,565.1,590.0,1,565.1,26-APR-2019,1,IN9473B01017
614,HATSUN,EQ,713.05,715.0,700.1,705.1,706.0,712.8,5776,4092093.55,26-APR-2019,647,INE473B01035
615,HAVELLS,EQ,778.0,778.0,760.2,766.8,764.1,772.9,334371,256513373.45,26-APR-2019,10529,INE176B01034
616,HAVISHA,BE,1.0,1.05,0.95,1.05,1.05,1.0,2901,3030.95,26-APR-2019,8,INE293B01029
617,HBLPOWER,EQ,24.7,24.9,24.3,24.4,24.3,24.65,97809,2391012.6,26-APR-2019,385,INE292B01021
618,HBSL,EQ,7.2,7.65,7.2,7.5,7.5,7.35,812,6113.6,26-APR-2019,15,INE550B01022
619,HCC,EQ,14.1,14.3,13.8,13.85,13.95,14.05,1238992,17312132.3,26-APR-2019,1856,INE549A01026
620,HCG,EQ,202.7,203.7,201.0,202.95,203.0,203.85,2140,432677.7,26-APR-2019,89,INE075I01017
621,HCL-INSYS,EQ,16.65,17.2,16.25,17.0,17.0,16.65,557850,9434146.85,26-APR-2019,1555,INE236A01020
622,HCLTECH,EQ,1140.0,1169.85,1135.0,1139.75,1138.4,1133.7,1732967,1984322619.9,26-APR-2019,85011,INE860A01027
623,HDFC,EQ,1959.3,1982.15,1941.6,1977.4,1976.95,1955.15,2094836,4114177193.2,26-APR-2019,102041,INE001A01036
624,HDFCAMC,EQ,1620.0,1624.95,1595.0,1613.05,1610.0,1611.3,77144,124437237.8,26-APR-2019,6323,INE127D01025
625,HDFCBANK,EQ,2265.9,2285.0,2256.9,2280.95,2275.8,2263.45,2926892,6645017406.0,26-APR-2019,121538,INE040A01026
626,HDFCLIFE,EQ,399.1,405.8,393.2,399.65,399.0,399.1,3066741,1227184128.9,26-APR-2019,60065,INE795G01014
627,HDFCMFGETF,EQ,2900.0,2904.75,2880.0,2899.5,2899.4,2890.95,985,2849095.05,26-APR-2019,107,INF179K01CN1
628,HDFCNIFETF,EQ,1207.59,1215.01,1207.59,1214.67,1214.44,1209.93,366,443387.98,26-APR-2019,21,INF179KB1KP3
629,HDFCSENETF,EQ,4085.0,4114.95,4000.02,4113.77,4113.7,4085.0,20,81796.14,26-APR-2019,13,INF179KB1KQ1
630,HDIL,EQ,24.05,24.15,23.5,23.65,23.55,23.95,1300755,30847517.8,26-APR-2019,3297,INE191I01012
631,HEG,EQ,1779.0,1789.35,1696.3,1707.95,1702.5,1780.4,333211,580419744.75,26-APR-2019,25904,INE545A01016
632,HEIDELBERG,EQ,184.05,185.95,181.15,182.05,181.75,184.85,104996,19235430.2,26-APR-2019,1792,INE578A01017
633,HEOF1126RG,MF,10.0,10.0,10.0,10.0,10.0,10.1,2600,26000.0,26-APR-2019,3,INF179KB1T82
634,HERCULES,EQ,114.15,116.0,112.9,113.25,113.0,113.75,7392,842700.05,26-APR-2019,246,INE688E01024
635,HERITGFOOD,EQ,487.25,504.25,482.15,500.75,500.5,487.35,19914,9834647.4,26-APR-2019,915,INE978A01027
636,HEROMOTOCO,EQ,2610.0,2616.75,2573.7,2604.0,2593.45,2612.25,727578,1891428226.4,26-APR-2019,35513,INE158A01026
637,HESTERBIO,EQ,1486.3,1504.9,1450.2,1460.45,1450.2,1495.0,2280,3373240.0,26-APR-2019,277,INE782E01017
638,HEXATRADEX,BE,18.0,19.6,18.0,19.05,19.05,18.7,63019,1167379.5,26-APR-2019,30,INE750M01017
639,HEXAWARE,EQ,343.7,353.7,341.15,352.4,350.1,343.7,1778131,620887007.65,26-APR-2019,42697,INE093A01033
640,HFCL,EQ,22.35,22.7,22.1,22.25,22.35,22.35,3071865,68713982.25,26-APR-2019,2894,INE548A01028
641,HGINFRA,EQ,267.75,271.0,263.05,266.95,268.0,266.95,12449,3314053.4,26-APR-2019,657,INE926X01010
642,HGS,EQ,642.5,643.45,630.5,633.1,630.8,634.65,1535,980299.7,26-APR-2019,255,INE170I01016
643,HHOF1140RG,MF,8.31,9.0,8.31,8.4,8.5,8.5,95000,803140.79,26-APR-2019,29,INF179KB1W87
644,HIGHGROUND,EQ,6.8,6.95,6.6,6.75,6.8,6.8,3373,22778.25,26-APR-2019,46,INE361M01021
645,HIKAL,EQ,180.0,185.5,180.0,180.95,180.5,179.95,194070,35436982.8,26-APR-2019,3015,INE475B01022
646,HIL,EQ,1870.0,1870.0,1821.0,1826.0,1830.0,1853.15,6297,11542609.4,26-APR-2019,1670,INE557A01011
647,HILTON,BE,17.3,18.15,16.65,17.05,17.05,17.3,1707,30307.35,26-APR-2019,10,INE788H01017
648,HIMATSEIDE,EQ,215.15,220.1,214.55,218.45,219.0,214.15,47564,10317814.45,26-APR-2019,1331,INE049A01027
649,HINDALCO,EQ,197.8,201.9,196.5,201.15,201.5,196.55,7452786,1484884898.0,26-APR-2019,69972,INE038A01020
650,HINDCOMPOS,EQ,217.95,220.5,216.0,219.95,220.0,218.1,2820,616180.35,26-APR-2019,88,INE310C01029
651,HINDCOPPER,EQ,47.95,48.1,47.5,47.75,47.75,47.95,321256,15350042.1,26-APR-2019,1798,INE531E01026
652,HINDMOTORS,BE,7.3,7.5,7.25,7.4,7.4,7.3,39450,291646.2,26-APR-2019,94,INE253A01025
653,HINDNATGLS,EQ,79.15,81.35,79.1,79.45,79.5,80.0,1092,87163.5,26-APR-2019,39,INE952A01022
654,HINDOILEXP,EQ,128.1,129.0,127.0,127.9,127.6,128.05,181845,23271636.45,26-APR-2019,4392,INE345A01011
655,HINDPETRO,EQ,275.0,284.0,275.0,282.9,283.1,275.05,6886460,1933508136.6,26-APR-2019,67402,INE094A01015
656,HINDSYNTEX,BZ,3.5,3.5,3.5,3.5,3.5,3.35,1140,3990.0,26-APR-2019,4,INE155B01012
657,HINDUJAVEN,EQ,386.95,389.95,378.45,387.1,387.7,381.25,3331,1284618.75,26-APR-2019,173,INE353A01023
