,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,38.5,38.65,37.2,38.0,38.0,38.0,19384,736576.6,24-APR-2019,277,INE144J01027
1,21STCENMGM,EQ,24.0,24.0,24.0,24.0,24.0,24.45,26,624.0,24-APR-2019,4,INE253B01015
2,3IINFOTECH,EQ,4.1,4.25,4.1,4.15,4.15,4.15,2158481,9014859.9,24-APR-2019,1340,INE748C01020
3,3MINDIA,EQ,25150.0,25200.0,24532.0,24672.75,24753.95,25157.85,2244,55993481.3,24-APR-2019,863,INE470A01017
4,3PLAND,EQ,12.75,12.75,11.25,11.35,11.45,11.8,1392,15822.55,24-APR-2019,14,INE105C01023
5,5PAISA,EQ,307.0,315.0,298.1,301.35,304.0,298.5,31939,9784908.85,24-APR-2019,1256,INE618L01018
6,63MOONS,EQ,116.9,120.3,110.35,113.05,113.25,116.2,512507,59237233.5,24-APR-2019,6256,INE111B01023
7,8KMILES,EQ,121.0,125.9,118.9,119.45,120.0,121.75,160155,19482676.75,24-APR-2019,2363,INE650K01021
8,A2ZINFRA,EQ,17.75,17.95,17.1,17.85,17.9,17.35,520479,9244065.35,24-APR-2019,370,INE619I01012
9,AARON,SM,49.7,49.7,44.65,44.65,44.65,45.6,15000,708600.0,24-APR-2019,3,INE721Z01010
10,AARTIDRUGS,EQ,625.9,632.5,619.7,628.6,624.05,624.7,16170,10120786.35,24-APR-2019,1488,INE767A01016
11,AARTIIND,EQ,1570.0,1584.0,1551.55,1559.25,1563.4,1568.6,43247,67508765.7,24-APR-2019,4555,INE769A01020
12,AARVEEDEN,EQ,22.95,23.8,22.95,23.5,23.8,22.95,1687,39665.85,24-APR-2019,55,INE273D01019
13,AARVI,SM,42.5,43.5,42.5,43.5,43.5,43.0,4000,172000.0,24-APR-2019,2,INE754X01016
